coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo
CODDOC0754,53,married,secundaria,no,65,no,no,25,41,2,-1,0
CODDOC0757,48,married,terciario,no,1167,si,si,1,264,1,-1,0
CODDOC0758,50,married,secundaria,no,231,si,no,21,397,2,-1,0
CODDOC0761,59,married,secundaria,no,817,no,no,9,304,1,-1,0
CODDOC0762,27,single,primaria,no,1128,si,no,30,88,4,-1,0
CODDOC0763,32,single,terciario,no,1831,si,no,20,86,2,-1,0
CODDOC0764,35,single,secundaria,no,450,si,no,13,63,1,-1,0
CODDOC0768,42,single,secundaria,no,1022,si,no,5,146,2,-1,0
CODDOC0772,52,married,secundaria,no,1781,si,no,19,144,2,-1,0
CODDOC0781,33,married,secundaria,no,1134,si,no,23,304,2,-1,0
CODDOC0787,51,divorced,terciario,no,0,no,no,13,60,2,-1,0
CODDOC0788,50,married,primaria,no,3924,si,no,20,122,2,-1,0
CODDOC0789,43,married,secundaria,no,764,si,no,14,557,5,-1,0
CODDOC0790,37,divorced,primaria,no,511,si,no,11,42,1,-1,0
CODDOC0791,34,single,terciario,no,4348,si,no,28,373,8,-1,0
CODDOC0792,41,married,terciario,no,3016,si,no,14,80,3,-1,0
CODDOC0793,26,single,secundaria,no,279,no,no,7,239,3,-1,0
CODDOC0794,49,divorced,terciario,no,1405,no,no,8,29,1,-1,0
CODDOC0796,30,single,terciario,no,162,si,no,20,186,4,-1,0
CODDOC0797,38,divorced,secundaria,no,792,no,no,6,430,1,-1,0
CODDOC0800,53,divorced,desconocido,no,1012,si,no,28,332,2,-1,0
CODDOC0801,50,married,terciario,no,2881,no,no,5,510,2,2,5
CODDOC0802,30,single,secundaria,no,445,si,no,16,218,1,330,2
CODDOC0805,40,married,terciario,no,-1212,si,no,15,1259,2,333,18
CODDOC0806,41,married,secundaria,no,2125,si,si,21,285,3,116,4
CODDOC0809,32,single,secundaria,no,271,si,no,13,80,2,268,2
CODDOC0814,31,married,secundaria,no,466,si,no,14,164,1,-1,0
CODDOC0815,47,married,secundaria,no,-75,si,no,4,57,1,247,1
CODDOC0817,41,married,secundaria,no,77,si,no,7,56,1,-1,0
CODDOC0818,37,single,secundaria,no,-244,no,no,3,178,1,-1,0
CODDOC0819,27,single,primaria,no,1209,no,no,29,283,1,-1,0
CODDOC0820,27,married,secundaria,no,58,si,no,7,113,1,337,2
CODDOC0823,40,married,terciario,no,13669,no,no,15,138,1,136,8
CODDOC0825,39,married,terciario,no,794,no,no,2,182,1,-1,0
CODDOC0826,31,single,terciario,no,1957,no,no,4,112,3,-1,0
CODDOC0827,48,married,secundaria,no,454,si,no,10,114,1,-1,0
CODDOC0828,32,single,primaria,no,882,no,si,29,80,8,-1,0
CODDOC0829,47,married,primaria,no,168,si,no,30,66,1,241,1
CODDOC0830,35,single,terciario,no,714,si,no,26,135,22,-1,0
CODDOC0833,59,married,secundaria,no,163,no,no,24,464,1,-1,0
CODDOC0839,31,single,terciario,no,454,no,no,4,73,3,-1,0
CODDOC0841,28,single,secundaria,si,-298,si,no,3,559,7,-1,0
CODDOC0844,59,single,secundaria,no,671,si,si,29,219,2,259,5
CODDOC0845,40,single,secundaria,no,65,si,no,15,15,3,-1,0
CODDOC0846,43,married,secundaria,no,-932,si,no,16,567,1,-1,0
CODDOC0847,38,single,secundaria,no,4366,si,no,29,188,2,-1,0
CODDOC0848,54,married,primaria,no,0,si,no,11,159,2,-1,0
CODDOC0850,55,divorced,primaria,no,976,no,no,28,345,1,94,3
CODDOC0855,42,married,secundaria,no,-105,si,no,28,60,2,-1,0
CODDOC0856,46,divorced,terciario,no,624,no,no,17,336,2,183,2
CODDOC0857,49,married,secundaria,si,-1680,si,si,27,92,4,-1,0
CODDOC0858,36,married,secundaria,no,-461,no,no,11,254,2,353,1
CODDOC0859,34,single,terciario,no,144,si,si,14,104,1,85,19
CODDOC0860,51,divorced,terciario,no,4,si,si,20,74,5,-1,0
CODDOC0862,48,married,terciario,no,866,no,no,29,146,2,-1,0
CODDOC0865,43,married,primaria,no,8167,si,no,19,114,2,-1,0
CODDOC0867,54,married,secundaria,no,3671,no,no,11,67,3,-1,0
CODDOC0871,57,married,secundaria,no,839,no,si,5,225,1,-1,0
CODDOC0873,33,single,secundaria,no,716,si,no,14,234,2,-1,0
CODDOC0875,38,single,terciario,no,15030,si,no,13,167,1,174,7
CODDOC0876,37,married,secundaria,no,11303,no,no,26,500,2,-1,0
CODDOC0880,28,single,terciario,no,183,si,si,28,62,2,-1,0
CODDOC0881,26,single,secundaria,no,255,no,no,30,457,1,80,1
CODDOC0882,31,single,secundaria,no,102,si,no,17,460,2,345,2
CODDOC0883,50,divorced,primaria,no,94,si,no,22,184,4,-1,0
CODDOC0884,45,married,primaria,no,58,si,no,13,119,3,371,3
CODDOC0886,41,married,secundaria,no,0,no,si,23,107,1,-1,0
CODDOC0889,43,married,primaria,no,757,si,no,9,315,4,-1,0
CODDOC0891,40,married,primaria,no,1206,no,si,16,201,5,-1,0
CODDOC0892,28,single,terciario,no,882,no,si,29,94,1,205,2
CODDOC0896,31,married,secundaria,no,1407,si,no,6,142,3,-1,0
CODDOC0901,33,single,secundaria,no,5235,no,no,7,67,3,-1,0
CODDOC0902,30,single,terciario,no,3,si,no,6,45,2,169,2
CODDOC0903,58,single,secundaria,no,409,no,si,14,643,2,-1,0
CODDOC0904,34,married,terciario,no,35,si,no,15,76,1,69,2
CODDOC0907,31,married,primaria,no,99,si,no,17,193,2,322,1
CODDOC0908,40,married,terciario,no,60,no,no,16,172,6,-1,0
CODDOC0909,30,single,secundaria,no,3485,no,no,2,142,2,-1,0
CODDOC0910,34,married,secundaria,no,-139,si,si,27,492,2,-1,0
CODDOC0911,40,married,secundaria,no,952,no,si,12,140,1,-1,0
CODDOC0912,59,married,primaria,no,1427,no,no,18,140,2,-1,0
CODDOC0914,41,married,terciario,no,-29,no,no,29,41,2,266,2
CODDOC0915,33,divorced,secundaria,no,9,no,no,21,91,2,-1,0
CODDOC0918,32,single,secundaria,no,1259,no,no,25,184,2,-1,0
CODDOC0919,25,married,secundaria,no,18,si,no,18,225,1,-1,0
CODDOC0921,38,single,terciario,no,221,no,no,20,79,3,-1,0
CODDOC0923,67,married,secundaria,no,16353,no,no,27,223,2,-1,0
CODDOC0924,32,married,secundaria,no,-63,si,no,30,198,1,-1,0
CODDOC0929,54,divorced,terciario,no,6102,si,si,21,86,6,-1,0
CODDOC0931,42,married,primaria,no,-119,si,no,22,167,3,-1,0
CODDOC0934,38,married,secundaria,no,361,si,no,11,601,1,-1,0
CODDOC0935,39,married,secundaria,no,1072,si,no,27,1168,2,-1,0
CODDOC0938,33,married,secundaria,no,86,si,no,19,364,1,-1,0
CODDOC0939,37,married,secundaria,no,1633,si,no,19,229,3,-1,0
CODDOC0940,31,married,terciario,no,8312,no,no,29,43,13,-1,0
CODDOC0944,40,married,secundaria,no,109,no,no,20,402,22,-1,0
CODDOC0948,40,single,secundaria,no,888,si,no,12,169,2,-1,0
CODDOC0952,55,married,terciario,no,979,no,si,8,123,1,-1,0
CODDOC0954,34,single,terciario,no,84,no,no,5,231,1,-1,0
CODDOC0955,58,divorced,desconocido,no,5920,si,no,23,255,1,-1,0
CODDOC0961,52,married,secundaria,no,196,si,si,24,116,1,273,3
CODDOC0962,41,married,secundaria,no,552,si,no,12,463,1,-1,0
CODDOC0963,52,married,secundaria,no,2347,no,si,12,603,3,-1,0
CODDOC0964,34,single,secundaria,no,3723,si,no,27,47,5,-1,0
CODDOC0974,37,single,secundaria,no,5436,si,no,6,7,11,351,1
CODDOC0975,41,married,primaria,no,2067,si,no,15,493,7,-1,0
CODDOC0976,34,single,secundaria,no,215,no,no,3,350,3,-1,0
CODDOC0980,56,divorced,primaria,no,3021,no,no,9,419,2,-1,0
CODDOC0981,43,divorced,terciario,no,388,si,no,8,2087,2,-1,0
CODDOC0982,28,single,secundaria,no,3412,si,no,15,22,4,-1,0
CODDOC0985,59,married,terciario,no,2013,no,no,19,222,4,94,2
CODDOC0988,32,single,secundaria,no,604,no,si,28,95,3,-1,0
CODDOC0989,42,single,terciario,no,525,no,no,13,127,2,-1,0
CODDOC0990,52,divorced,primaria,no,353,no,no,31,395,4,-1,0
CODDOC0997,58,married,secundaria,no,37,no,no,18,84,11,-1,0
CODDOC0998,34,single,terciario,no,673,si,si,20,271,1,184,1
CODDOC1000,20,single,secundaria,no,291,no,no,11,172,5,371,5
CODDOC1001,34,married,secundaria,no,209,si,si,8,375,2,-1,0
CODDOC1002,31,single,terciario,no,438,si,no,12,130,2,-1,0
CODDOC1003,39,single,secundaria,no,1242,si,no,12,303,3,-1,0
CODDOC1005,24,married,secundaria,no,204,si,si,17,229,3,-1,0
CODDOC1006,41,married,terciario,no,10758,si,no,1,288,1,-1,0
CODDOC1008,45,single,secundaria,no,410,si,no,30,891,4,-1,0
CODDOC1009,36,married,terciario,no,605,si,no,26,204,1,-1,0
CODDOC1010,53,married,terciario,no,4,no,no,20,19,6,-1,0
CODDOC1012,42,married,primaria,no,198,si,no,8,314,1,-1,0
CODDOC1014,34,married,terciario,no,8,no,no,25,169,4,-1,0
CODDOC1017,36,married,secundaria,no,439,si,no,21,260,5,-1,0
CODDOC1018,49,married,secundaria,no,-454,si,no,14,558,1,-1,0
CODDOC1020,53,married,secundaria,no,665,si,no,22,371,2,-1,0
CODDOC1021,42,married,secundaria,no,994,si,no,11,149,1,78,5
CODDOC1022,45,married,secundaria,no,5346,si,si,21,187,1,-1,0
CODDOC1023,31,married,secundaria,no,1243,si,no,21,32,1,-1,0
CODDOC1024,32,married,terciario,no,0,si,no,5,138,1,-1,0
CODDOC1025,36,married,secundaria,no,2357,si,no,17,228,2,-1,0
CODDOC1027,46,married,secundaria,no,1069,si,no,8,45,2,-1,0
CODDOC1030,32,married,secundaria,no,266,si,no,19,168,2,-1,0
CODDOC1031,38,married,terciario,no,-70,si,no,30,140,1,2,3
CODDOC1032,49,single,primaria,no,25824,no,no,17,94,1,-1,0
CODDOC1035,36,married,desconocido,no,2323,no,no,19,111,1,-1,0
CODDOC1036,38,married,secundaria,no,1852,si,no,15,298,2,-1,0
CODDOC1037,53,married,secundaria,no,2647,si,no,30,121,1,-1,0
CODDOC1039,41,married,terciario,no,176,si,si,5,42,1,-1,0
CODDOC1043,30,single,secundaria,no,81,si,no,6,121,6,112,3
CODDOC1044,41,married,secundaria,no,780,si,no,15,432,3,-1,0
CODDOC1045,44,married,terciario,no,178,no,no,8,126,2,-1,0
CODDOC1047,35,married,primaria,no,285,si,no,29,136,1,-1,0
CODDOC1048,27,married,secundaria,no,872,si,no,17,1130,3,-1,0
CODDOC1049,34,married,secundaria,no,1337,no,no,17,330,2,127,3
CODDOC1052,38,married,secundaria,no,-388,si,no,9,412,1,-1,0
CODDOC1054,47,divorced,secundaria,si,-535,si,no,30,71,2,-1,0
CODDOC1055,41,divorced,secundaria,no,787,si,no,8,297,2,-1,0
CODDOC1057,63,married,secundaria,no,3904,no,no,4,250,2,187,2
CODDOC1058,23,single,terciario,no,736,si,no,30,119,1,-1,0
CODDOC1059,32,married,terciario,no,1390,no,no,7,116,2,-1,0
CODDOC1061,48,married,terciario,no,1147,no,no,5,389,1,64,2
CODDOC1062,49,married,secundaria,no,1122,no,no,4,143,1,-1,0
CODDOC1063,50,married,secundaria,no,-568,si,si,28,860,2,-1,0
CODDOC1065,53,divorced,secundaria,no,-905,si,no,28,213,1,-1,0
CODDOC1068,44,married,secundaria,no,8262,si,no,23,201,16,-1,0
CODDOC1069,39,single,secundaria,no,14,si,si,13,19,9,-1,0
CODDOC1071,36,married,secundaria,no,1049,si,no,14,224,4,-1,0
CODDOC1072,38,married,secundaria,no,0,si,no,13,57,5,349,1
CODDOC1075,28,divorced,terciario,no,594,si,si,18,54,3,-1,0
CODDOC1076,26,married,terciario,no,454,si,si,23,28,18,-1,0
CODDOC1082,48,married,secundaria,no,112,no,no,18,139,5,-1,0
CODDOC1085,26,divorced,secundaria,no,74,si,no,23,106,6,-1,0
CODDOC1087,50,married,secundaria,no,3025,no,si,6,168,3,-1,0
CODDOC1089,39,single,terciario,no,416,no,no,23,56,4,-1,0
CODDOC1090,52,married,primaria,no,14,no,si,28,55,5,-1,0
CODDOC1093,47,married,secundaria,no,599,si,no,13,99,3,-1,0
CODDOC1095,32,single,terciario,no,1012,no,no,14,178,1,-1,0
CODDOC1097,46,married,terciario,no,217,si,no,14,141,1,346,2
CODDOC1098,45,divorced,terciario,no,2096,no,no,21,127,1,100,2
CODDOC1101,59,married,terciario,no,1831,no,no,17,122,1,92,1
CODDOC1103,48,married,terciario,no,7289,si,no,2,316,3,-1,0
CODDOC1105,37,single,primaria,no,851,si,no,15,151,1,352,1
CODDOC1110,59,married,secundaria,no,1,no,no,15,159,2,378,3
CODDOC1111,50,divorced,primaria,no,-10,no,si,10,369,6,-1,0
CODDOC1112,37,married,secundaria,no,480,no,no,22,344,2,182,8
CODDOC1114,50,single,secundaria,no,3897,no,no,26,298,1,-1,0
CODDOC1115,36,divorced,secundaria,no,487,no,si,11,268,3,-1,0
CODDOC1119,60,married,secundaria,no,4820,no,no,5,419,1,-1,0
CODDOC1123,32,married,terciario,no,4089,no,no,26,114,7,287,3
CODDOC1124,35,married,terciario,no,188,no,no,26,286,2,-1,0
CODDOC1125,37,married,desconocido,no,189,no,no,1,238,1,107,2
CODDOC1126,38,divorced,secundaria,no,2998,si,no,11,91,1,-1,0
CODDOC1128,32,single,desconocido,no,787,no,no,28,92,1,-1,0
CODDOC1129,43,divorced,secundaria,no,167,no,no,4,211,3,-1,0
CODDOC1130,36,single,terciario,no,243,si,no,7,160,2,360,3
CODDOC1131,29,married,terciario,no,877,no,no,3,166,3,-1,0
CODDOC1134,26,single,secundaria,no,127,si,si,23,85,3,-1,0
CODDOC1140,52,divorced,primaria,no,278,si,no,7,688,2,-1,0
CODDOC1142,46,married,secundaria,no,-337,si,no,27,112,1,-1,0
CODDOC1144,57,married,primaria,no,501,si,si,7,59,2,-1,0
CODDOC1147,39,married,terciario,no,246,no,no,11,86,2,-1,0
CODDOC1151,36,divorced,secundaria,no,5957,si,no,18,138,2,-1,0
CODDOC1152,44,married,secundaria,no,205,no,no,3,289,1,-1,0
CODDOC1154,41,divorced,terciario,no,369,si,no,22,9,3,-1,0
CODDOC1156,32,single,terciario,no,259,no,no,22,407,4,-1,0
CODDOC1161,38,divorced,secundaria,no,157,no,no,9,299,5,-1,0
CODDOC1162,29,single,terciario,no,991,no,no,5,563,1,-1,0
CODDOC1163,55,married,secundaria,no,186,si,si,9,241,1,-1,0
CODDOC1165,40,single,terciario,no,2893,no,no,2,76,3,-1,0
CODDOC1166,34,married,secundaria,no,1897,si,si,19,441,1,-1,0
CODDOC1168,33,married,secundaria,no,889,si,no,18,13,1,373,6
CODDOC1171,58,married,terciario,no,2729,no,no,18,188,1,-1,0
CODDOC1172,36,single,secundaria,no,0,no,no,20,637,1,-1,0
CODDOC1173,42,married,secundaria,no,230,si,no,5,175,7,-1,0
CODDOC1175,35,married,terciario,no,317,si,no,23,162,3,-1,0
CODDOC1179,27,divorced,secundaria,no,1,si,no,14,116,3,-1,0
CODDOC1180,37,married,terciario,no,5106,no,no,30,244,1,-1,0
CODDOC1182,34,married,secundaria,no,1076,no,no,12,152,1,182,6
CODDOC1184,32,married,secundaria,no,-33,si,no,28,234,3,-1,0
CODDOC1187,71,married,terciario,no,383,no,no,27,327,2,183,3
CODDOC1192,30,married,secundaria,no,6,si,no,28,241,3,-1,0
CODDOC1194,33,single,secundaria,no,706,si,no,7,329,1,322,1
CODDOC1196,59,married,terciario,no,185,no,no,22,177,5,138,1
CODDOC1198,64,married,terciario,no,679,no,no,22,135,3,-1,0
CODDOC1201,58,married,secundaria,no,1407,si,no,30,58,1,-1,0
CODDOC1207,61,married,terciario,no,6016,no,no,2,670,3,-1,0
CODDOC1208,36,married,primaria,no,177,si,no,12,63,5,-1,0
CODDOC1209,28,married,terciario,no,3694,no,si,8,70,2,-1,0
CODDOC1210,58,single,secundaria,no,1640,no,si,4,72,6,274,4
CODDOC1213,36,single,terciario,no,490,no,no,28,207,8,98,1
CODDOC1215,40,married,secundaria,no,0,no,no,12,543,2,-1,0
CODDOC1218,44,married,primaria,no,271,si,si,9,94,1,-1,0
CODDOC1220,47,married,primaria,no,320,no,no,30,203,2,-1,0
CODDOC1221,33,married,terciario,no,640,no,no,24,318,1,-1,0
CODDOC1222,30,married,secundaria,no,1772,si,no,13,158,4,-1,0
CODDOC1223,27,single,secundaria,no,15,no,si,21,177,1,-1,0
CODDOC1225,27,single,secundaria,no,201,si,no,4,172,2,-1,0
CODDOC1226,51,married,secundaria,no,160,si,no,7,136,1,359,1
CODDOC1227,32,divorced,secundaria,si,5,si,si,18,82,3,363,2
CODDOC1228,30,single,secundaria,no,75,si,no,16,123,1,-1,0
CODDOC1229,33,married,secundaria,no,4902,si,no,20,110,1,-1,0
CODDOC1231,75,divorced,secundaria,no,1341,no,no,18,415,7,-1,0
CODDOC1233,36,single,secundaria,no,1521,si,no,16,243,2,-1,0
CODDOC1237,32,single,secundaria,no,116,no,si,16,255,2,-1,0
CODDOC1240,28,single,secundaria,no,4229,si,si,5,205,2,-1,0
CODDOC1241,27,married,secundaria,no,54,si,no,18,97,1,370,1
CODDOC1242,22,single,desconocido,no,549,no,no,2,154,1,-1,0
CODDOC1243,35,married,primaria,no,298,si,no,13,135,2,370,2
CODDOC1244,69,married,primaria,no,579,no,no,14,230,1,-1,0
CODDOC1245,37,single,terciario,no,1467,si,si,17,349,1,-1,0
CODDOC1246,45,single,secundaria,no,0,si,no,8,38,1,-1,0
CODDOC1247,47,married,terciario,no,109,si,no,22,268,1,-1,0
CODDOC1248,52,married,terciario,no,-11,si,no,11,94,4,-1,0
CODDOC1253,38,married,secundaria,no,868,no,no,20,452,2,-1,0
CODDOC1254,54,married,secundaria,no,653,si,no,15,352,1,-1,0
CODDOC1257,55,divorced,secundaria,no,218,si,no,29,200,2,-1,0
CODDOC1258,51,married,primaria,no,5050,no,si,16,75,7,-1,0
CODDOC1259,48,married,secundaria,no,741,si,no,16,227,1,-1,0
CODDOC1260,37,single,secundaria,no,1050,si,no,3,586,3,-1,0
CODDOC1262,30,married,primaria,no,1,si,si,22,80,2,-1,0
CODDOC1264,49,married,secundaria,no,4667,si,no,19,130,2,-1,0
CODDOC1265,54,married,primaria,no,541,si,no,3,237,3,-1,0
CODDOC1266,31,married,terciario,no,7744,no,no,26,377,8,-1,0
CODDOC1268,36,married,secundaria,no,-129,si,no,29,121,3,-1,0
CODDOC1271,30,married,secundaria,no,122,si,no,16,107,1,-1,0
CODDOC1279,54,married,secundaria,no,-932,si,no,7,799,1,-1,0
CODDOC1282,40,married,primaria,no,0,si,no,11,271,2,-1,0
CODDOC1283,30,married,primaria,no,2581,no,no,12,221,2,-1,0
CODDOC1284,27,married,secundaria,no,639,no,si,14,243,3,-1,0
CODDOC1287,32,single,terciario,no,1218,si,no,28,70,2,-1,0
CODDOC1288,31,married,terciario,no,2603,si,no,11,280,4,-1,0
CODDOC1291,34,married,primaria,no,79,si,no,14,406,2,-1,0
CODDOC1292,55,divorced,secundaria,no,61,si,si,25,113,3,-1,0
CODDOC1293,49,married,secundaria,no,1091,no,no,30,47,2,-1,0
CODDOC1295,47,married,desconocido,no,209,si,no,6,135,2,-1,0
CODDOC1299,25,single,secundaria,no,1116,si,no,2,170,3,-1,0
CODDOC1301,59,divorced,secundaria,no,5845,no,no,14,1060,2,-1,0
CODDOC1303,46,married,secundaria,no,494,si,no,26,724,1,-1,0
CODDOC1305,37,married,terciario,no,2685,no,no,20,187,2,-1,0
CODDOC1306,44,married,primaria,no,-14,si,si,19,179,4,-1,0
CODDOC1309,48,married,terciario,no,0,no,no,26,176,15,-1,0
CODDOC1310,31,married,secundaria,no,625,si,no,7,424,1,138,1
CODDOC1314,32,single,terciario,no,151,si,no,6,118,1,-1,0
CODDOC1316,49,married,terciario,no,1784,no,no,12,753,1,-1,0
CODDOC1321,48,married,terciario,no,60,no,no,7,376,2,339,7
CODDOC1325,41,married,terciario,no,171,si,no,19,209,1,191,4
CODDOC1326,28,single,terciario,no,1027,si,no,14,433,1,-1,0
CODDOC1327,51,married,desconocido,no,5801,si,no,29,147,2,-1,0
CODDOC1328,33,divorced,primaria,no,142,si,no,11,41,2,300,5
CODDOC1329,26,single,terciario,no,205,no,no,26,111,1,-1,0
CODDOC1331,27,married,secundaria,si,-584,si,no,7,411,2,-1,0
CODDOC1332,42,married,secundaria,no,97,no,no,10,108,2,-1,0
CODDOC1333,45,married,secundaria,no,204,si,no,3,224,2,-1,0
CODDOC1335,32,single,terciario,no,311,no,no,12,757,2,-1,0
CODDOC1343,27,married,secundaria,no,710,si,si,6,653,1,334,2
CODDOC1347,34,married,secundaria,no,1499,si,no,13,186,1,327,2
CODDOC1349,36,married,terciario,no,61,no,si,19,452,2,-1,0
CODDOC1353,23,single,secundaria,no,1021,no,no,19,79,9,-1,0
CODDOC1355,58,married,primaria,no,781,si,no,15,74,2,-1,0
CODDOC1356,29,single,secundaria,no,1448,no,no,10,217,1,184,7
CODDOC1359,41,married,secundaria,no,0,no,no,11,101,1,-1,0
CODDOC1360,35,married,primaria,no,0,si,no,14,340,3,-1,0
CODDOC1361,31,single,secundaria,no,1014,si,no,23,158,4,-1,0
CODDOC1366,34,married,primaria,no,-319,si,si,9,134,4,-1,0
CODDOC1367,36,married,terciario,no,-296,si,no,14,113,3,-1,0
CODDOC1369,37,single,terciario,no,556,no,no,17,200,2,-1,0
CODDOC1370,65,divorced,desconocido,no,300,no,no,2,245,2,-1,0
CODDOC1378,36,married,primaria,no,0,si,no,18,618,2,-1,0
CODDOC1380,46,married,secundaria,no,368,no,no,20,293,1,90,4
CODDOC1382,59,married,secundaria,no,204,no,no,23,286,2,-1,0
CODDOC1387,50,married,secundaria,no,254,si,no,15,397,2,337,1
CODDOC1389,51,divorced,secundaria,no,518,si,no,17,76,1,-1,0
CODDOC1390,50,married,terciario,no,85,no,si,1,141,1,-1,0
CODDOC1391,37,married,desconocido,no,603,si,no,23,773,2,-1,0
CODDOC1392,21,single,secundaria,no,361,no,no,5,329,1,95,1
CODDOC1395,26,single,secundaria,no,2610,si,si,2,626,1,-1,0
CODDOC1396,38,married,terciario,no,3234,no,no,18,578,2,-1,0
CODDOC1397,32,married,secundaria,no,687,si,no,9,61,1,-1,0
CODDOC1400,33,single,terciario,no,316,no,no,21,126,3,-1,0
CODDOC1401,35,married,secundaria,no,2,no,no,28,653,3,-1,0
CODDOC1403,48,divorced,terciario,no,507,si,no,9,528,1,-1,0
CODDOC1404,29,married,secundaria,no,912,si,no,13,785,1,-1,0
CODDOC1406,37,married,primaria,no,37,si,no,13,24,2,362,1
CODDOC1407,44,single,secundaria,no,2524,no,no,19,82,1,-1,0
CODDOC1408,36,single,terciario,no,9019,si,no,11,952,3,-1,0
CODDOC1409,49,divorced,desconocido,no,39,si,no,13,27,5,-1,0
CODDOC1411,49,divorced,secundaria,no,265,si,no,12,274,6,-1,0
CODDOC1413,57,divorced,desconocido,no,4012,no,no,20,915,1,-1,0
CODDOC1415,36,divorced,secundaria,no,-140,si,no,26,222,2,-1,0
CODDOC1417,38,single,secundaria,no,578,si,no,21,112,2,-1,0
CODDOC1418,40,married,primaria,si,0,si,no,6,64,2,-1,0
CODDOC1425,32,single,terciario,no,0,no,no,6,101,5,3,6
CODDOC1426,36,married,terciario,no,495,no,no,5,157,3,97,2
CODDOC1428,49,married,secundaria,no,358,si,si,13,176,3,-1,0
CODDOC1429,42,married,secundaria,no,292,si,no,11,222,3,-1,0
CODDOC1432,59,single,secundaria,no,351,si,no,27,1063,5,-1,0
CODDOC1434,33,single,secundaria,no,13494,si,no,20,27,25,-1,0
CODDOC1436,64,married,secundaria,no,1574,no,no,29,301,3,-1,0
CODDOC1439,57,married,primaria,no,2927,no,si,30,78,5,-1,0
CODDOC1443,73,married,primaria,no,1388,no,no,20,146,3,190,3
CODDOC1446,32,married,secundaria,no,413,si,no,11,712,2,-1,0
CODDOC1450,31,married,terciario,no,1224,si,si,24,1441,2,-1,0
CODDOC1453,55,married,secundaria,no,955,si,no,29,104,1,-1,0
CODDOC1454,30,married,secundaria,no,518,si,no,8,127,1,-1,0
CODDOC1461,36,married,desconocido,no,756,no,no,11,396,3,-1,0
CODDOC1465,31,married,secundaria,no,1766,no,si,5,166,2,-1,0
CODDOC1466,39,married,secundaria,no,124,si,no,31,81,5,-1,0
CODDOC1467,33,married,terciario,no,69,no,si,4,77,2,-1,0
CODDOC1468,53,divorced,secundaria,no,0,no,no,12,80,2,-1,0
CODDOC1470,59,married,secundaria,no,259,no,no,15,415,1,89,1
CODDOC1472,38,single,terciario,no,744,si,no,14,283,1,288,12
CODDOC1476,57,married,terciario,no,1172,no,no,18,26,1,-1,0
CODDOC1477,29,single,secundaria,no,9,si,no,11,262,3,-1,0
CODDOC1478,31,married,secundaria,no,428,si,no,21,272,1,-1,0
CODDOC1479,35,single,terciario,no,7546,si,no,28,137,1,122,3
CODDOC1480,31,married,primaria,no,620,no,no,30,95,1,-1,0
CODDOC1482,40,single,secundaria,no,192,si,no,16,71,11,-1,0
CODDOC1484,43,single,terciario,no,27733,si,no,3,164,7,-1,0
CODDOC1487,40,married,secundaria,no,782,si,no,14,224,2,-1,0
CODDOC1490,27,single,terciario,no,6421,no,no,28,147,4,-1,0
CODDOC1493,34,married,terciario,no,5060,si,no,21,12,21,-1,0
CODDOC1495,27,single,secundaria,no,-124,no,no,18,217,1,-1,0
CODDOC1496,31,married,secundaria,no,79,si,si,23,235,11,-1,0
CODDOC1502,46,married,secundaria,no,57,no,no,28,796,1,-1,0
CODDOC1503,49,married,secundaria,no,635,no,no,25,220,3,-1,0
CODDOC1504,56,married,secundaria,no,-113,si,si,12,614,2,-1,0
CODDOC1505,47,divorced,secundaria,no,225,no,no,28,1126,4,-1,0
CODDOC1507,36,single,secundaria,no,475,no,no,25,141,3,-1,0
CODDOC1508,40,married,terciario,no,-7,no,si,25,697,1,-1,0
CODDOC1509,37,single,secundaria,si,375,no,no,9,223,2,-1,0
CODDOC1510,42,divorced,secundaria,no,936,no,no,30,931,1,-1,0
CODDOC1511,45,married,secundaria,no,1415,si,no,17,483,1,116,1
CODDOC1513,27,single,secundaria,no,3638,no,no,11,271,5,-1,0
CODDOC1514,30,married,secundaria,no,-99,si,no,15,144,5,-1,0
CODDOC1515,32,married,secundaria,no,167,si,si,8,79,3,-1,0
CODDOC1519,32,married,secundaria,no,286,no,no,20,60,1,343,4
CODDOC1520,49,married,secundaria,no,769,si,no,14,257,1,-1,0
CODDOC1521,35,married,terciario,no,93,no,no,4,198,2,88,1
CODDOC1522,38,married,secundaria,no,1663,si,no,13,217,3,327,1
